Medicamento, Interage com, Efeito Clínico, Grau da interação, início da ação, Recomendação
Aciclovir, Tenofovir, Tontura; diarréia; vômito; neuropatia, Moderada, --, Monitorar aumento dos efeitos tóxicos do tenofovir (tontura; diarréia; neuropatia; vômito)
Aciclovir, Zidovudina, Letargia e fadiga grave, Moderada, Rápido, Observar a ocorrência de letargia e fadiga.
Ácido épsilon aminocapróico, Tretinoína, ↑risco de trombose, Grave, --, Monitorar paciente via hemograma; TAP e TTPA; Monitorar o paciente quanto aos sinais clínicos como: dor no peito; falta de ar; hemoptise; hematúria; perda súbita da visão; dor; vermelhidão ou inchaço
Ácido fólico, Capecitabina, Ocorrência de anorexia; ulceração da boca; diarréia com sangue; sangramento vaginal, Grave, --, O uso concomitante deve ser evitado.  Os doentes devem ser monitorizados atentamente quanto a toxicidade potencial da capecitabina; como neutropenia; trombocitopenia; estomatite; hemorragia gastrointestinal; diarréia grave; vômito; reações cutâneas; e neuropatia. Monitorar paciente via hemograma.
Amicacina/ Gentamicina, AINEs: Diclofenaco/ Ibuprofeno/ Naproxeno, ↑ocorrência de nefrotoxicidade, Moderada, --, Monitorar aumento dos efeitos nefrotóxicos dos aminoglicosídeos (amicacina/gentamicina).
Amicacina/ Gentamicina, Cefalotina, ↑ ocorrência de nefrotoxicidade, Moderada, --, Monitorar aumento dos efeitos nefrotóxicos dos aminoglicosídeos (amicacina/gentamicina).
Amiodarona, Diltiazem/ Verapamil, Bradcardia; parada sinusal e ↓ débito cardíaco, Grave, --, Considerar modificação da terapia. Monitorar aumento dos efeitos terapêuticos da Amiodarona e sinais de toxicidade.
Amiodarona, Atazanavir/ Lopinavir/ Ritonavir, Arritmias cardíacas potencialmente letais, Grave, --, Uso concomitante deve ser evitado.

Amiodarona, Propranolol/ Metoprolol, Hipotensão arterial; bradcardia e parada cardíaca, Grave, --, Monitorar sinais e sintomas de bradcardia. Monitorar a pressão arterial. Exceção: Atenolol.
Amiodarona, Ciclosporina, ↑ efeito terapêutico da ciclosporina (imunossupressão), Moderada, --, Considerar modificação na terapia ou ajuste de dose.
Amiodarona, Digoxina, Náusea; vômito e arritmia (toxicidade pela digoxina), Moderada, Demorado, Considerar modificação da terapia ou redução de um terço da dose da Digoxina. Monitorar efeitos tóxicos (náusea; vômito e arritmia).
Amiodarona , Lidocaína , Crises convulsivas, Moderada, --, Monitorar aumento da toxicidade da Lidocaína (convulsões).
Amiodarona, Amitriptilina/Levofloxacino/Moxifloxacino/Claritromicina/Clorpromazina/Domperidona/Octreotida/Voriconazol, Arritmias ventriculares, Grave, --, Uso concomitante deve ser feito com cautela. Observar risco-benefício. Monitorar ocorrÊncia de arritmias.
Amiodarona, Hidrocortisona/Ondansetrona, Risco de arritmias; Hipocalemia; Hipomagnesemia, Grave, --, Monitorar frequência cardíaca e níveis séricos de potássio e magnésio.
Ampicilina, Alopurinol, ↑ ocorrência de hipersensibilidade cutânea à ampicilina, Moderada, --, Monitorar o aumento da incidência de reações de hipersensibilidade.
Ampicilina, Doxiciclina, ↓ efeitos terapêuticos da Ampicilina, Grave, --, Administrar os medicamentos com intervalo de pelo menos duas horas.
Anfoterecina B, Amicacina/ Gentamicina, ↑ efeito nefrotóxico dos aminoglicosídeos, Moderada, --, Monitorar função renal.
Anfoterecina B, Ciclosporina, ↑ efeito nefrotóxico da ciclosporina, Moderada, --, Monitorar função renal
Anlodipino, Ritonavir/ Lopinavir/ Atazanavir, ↑ efeitos terapêuticos e tóxicos do anlodipino, Moderada, --, Monitorar o aumento dos efeitos terapêuticos (hipotensão arterial) e tóxicos (fadiga; edema; alterações do ritmo cardíaco).
Anlodipino, Atenolol/Metoprolol/Propranolol, ↑ Efeito hipotensor do anlodipino e ocorrência de bradicardia, Moderada, --, Monitorar ocorrência de bradicardia; hipotensão arterial ou sinais de insuficiência cardíaca.
Anlodipino, Carbamazepina, ↓ efeito terapêutico do anlodipino, Moderada, --, Monitorar a pressão arterial.
Anlodipino, Carbonato de cálcio, ↓ efeito terapêutico do anlodipino, Moderada, --, Monitorar a pressão arterial.
Anlodipino, Ciclosporina, ↑ efeitos terapêuticos e tóxicos do anlodipino, Moderada, --, Monitorar o aumento dos efeitos terapêuticos (hipotensão arterial) e tóxicos (fadiga; edema; alterações do ritmo cardíaco).
Anlodipino/ Nifedipino/ Nimodipino/ Diltiazem/ Verapamil, Cetoconazol/ Itraconazol/ Miconazol, ↑ efeitos terapêuticos e tóxicos dos bloqueadores de canal de cálcio, Moderada, --, Monitorar o aumento dos efeitos terapêuticos (hipotensão arterial) e tóxicos (fadiga; edema; alterações do ritmo cardíaco).

Anlodipino/ Nifedipino/ Nimodipino/ Diltiazem/ Verapamil, Atracúrio/ Pancurônio / Suxametônio, ↑ efeito bloqueador neuromuscular do atracúrio/pancurônio, Grave, --, Monitorar o aumento/prolongamento dos efeitos terapêuticos (paralisia muscular) de agentes bloqueadores neuromusculares (não despolarizantes).
Anlodipino/ Nifedipino/ Nimodipino/ Diltiazem/ Verapamil, AINEs: Diclofenaco/ Ibuprofeno/ Naproxeno, ↓ efeito anti-hipertensivo dos bloqueadores de canal de cálcio, Leve, --, Monitorar pressão arterial.
Anlodipino/ Nifedipino/ Nimodipino/ Diltiazem/ Verapamil, Carbonato de Cálcio, ↓ efeito anti-hipertensivo dos bloqueadores de canal de cálcio, Moderada, --, Monitorar pressão arterial.
Anlodipino/ Nifedipino/ Nimodipino/ Diltiazem/ Verapamil, Fluconazol, ↑ efeitos terapêuticos e tóxicos dos bloqueadores de canal de cálcio, Moderada, --, Monitorar o aumento dos efeitos terapêuticos (hipotensão arterial) e tóxicos (fadiga; edema; alterações do ritmo cardíaco).
Anlodipino/ Nifedipino/ Nimodipino/ Diltiazem/ Verapamil, Nitroprussiato de sódio, ↑ efeito hipotensor do Nitroprussiato, Moderada, Rápido, Usar com cautela. Redução da dose de Nitroprussiato pode ser necessária para controle pressórico adequado.
Anlodipino/ Nifedipino/ Nimodipino/ Diltiazem/ Verapamil, Rifampicina, ↓ efeito anti-hipertensivo dos bloqueadores de canal de cálcio, Moderada, --, Monitorar pressão arterial.

Anlodipino/ Nifedipino/ Nimodipino/ Diltiazem/ Verapamil, Fenitoína, ↑ efeitos tóxicos da Fenitoína, Moderada, --, Monitorar ocorrência de efeitos tóxicos (depressão do SNC; nistagmo; vertigem; sonolência; ataxia).
Anlodipino/ Nifedipino/ Nimodipino/ Diltiazem/ Verapamil, Claritromicina, ↑ efeitos terapêuticos e tóxicos dos bloqueadores de canal de cálcio, Moderada, --, Monitorar o aumento dos efeitos terapêuticos (hipotensão arterial) e tóxicos (fadiga; edema; alterações do ritmo cardíaco). Considerar troca por macrolídeo não interagente (Azitromicina).
Atenolol, Ampicilina, ↓ efeito anti-hipertensivo do beta-bloqueador (atenolol), Moderada, --, Monitorar pressão arterial.
Captopril/ Enalapril, AAS, ↓ resposta anti-hipertensiva, Moderada, --, Monitorar pressão arterial.
Captopril/ Enalapril, Trimetropina, ↑ hipercalemia , Moderada, --, Monitorar níveis séricos de potássio.
Captopril/ Enalapril, AINEs (Diclofenaco; Ibuprofeno; Naproxeno), ↓ resposta anti-hipertensiva; ↑ risco de disfunção renal, Moderada, --, Monitorar pressão arterial. Considerar terapia antiinflamatória alternativa (principalmente pacientes com ICC).
Captopril/ Enalapril, Antiácidos (Carbonato de Cálcio/ Bicarbonato de sódio/ Hidróxido de alumínio), ↓ resposta anti-hipertensiva, Moderada, --, Monitorar pressão arterial. Administrar com intervalo de no mínimo 2 horas.
Captopril/ Enalapril, Alopurinol, ↑ risco de reações alérgicas ao alopurinol, Grave, Rápido, Observar evidências de hipersensibilidade ao alopurinol por no mínimo 5 semanas.
Captopril/ Enalapril, Azatioprina, ↑ efeito neutropênicos da Azatioprina, Moderada, --, Monitorar aumento de efeitos tóxicos da Azatioprina (neutropenia).

Captopril/ Enalapril, Ciclosporina, ↑ efeito nefrotóxico da ciclosporina, Grave, Demorado, Monitorar função renal.   Manter hidratação adequada (Cautela quanto ao uso de diuréticos)
Captopril/ Enalapril, Espironolactona, ↑ efeito hipercalêmico dos IECA (Captopril/Enalapril), Moderada, --, Monitorar níveis séricos de potássio (principalmente na ICC).
Captopril/ Enalapril, Hidroclorotiazida, Hipotensão postural; ↑ efeito nefrotóxico dos IECA (Captopril/Enalapril), Moderada, --, Observar evidências de hipotensão postural no início do tratamento.Observar sinais e sintomas de disfunção renal. 
Captopril/ Enalapril, Hidróxido de ferro polimaltosado (Noripurum®), ↑ efeitos adversos/tóxicos dos sais de ferro (náusea; vômito e hipotensão arterial), Moderada, --, Observar o desenvolvimento desses efeitos adversos durante administração intrevenosa dos sais de ferro.
Carbamazepina, Diltiazem/Verapamil/Cetoconazol/Miconazol/Itraconazol/VoriconazolAtazanavir/Lopinavir/Ritonavir, ↑ efeitos adversos/tóxicos da Carbamazepina, Moderada, --, Monitorar efeitos tóxicos (ataxia; sonolência; fadiga; leucopenia; trombocitopenia; outros).
Carbamazepina, Alopurinol, ↑ efeitos adversos/tóxicos da Carbamazepina, Moderada, Demorada, Monitorar efeitos tóxicos (ataxia; sonolência; fadiga; leucopenia; trombocitopenia; outros).
Carbamazepina, Isoniazida, ↑ efeitos adversos/tóxicos da Carbamazepina, Moderada, Rápida, Monitorar efeitos tóxicos (ataxia; sonolência; fadiga; leucopenia; trombocitopenia; outros).
Carbamazepina, Amitriptilina, ↓ efeito terapêutico da Amitriptilina (efeito antidepressivo e propriedades  sedativas), Moderada, --, Monitorar a diminuição dos efeitos terapêuticos (efeito antidepressivo e propriedades  sedativas).
Carbamazepina, Ciclosporina, ↓ efeito terapêutico da ciclosporina (imunossupressão), Moderada, --, Considerar ajuste de dose da ciclosporina.
Carbamazepina, Varfarina, ↑ risco de sangramento, Moderada, --, Monitorar tempo de protrombina (TAP) e aumento das evidências de sangramento.  Ajuste de dose da varfarina.
Carbamazepina, Doxiciclina, ↓ efeito terapêutico da doxiciclina, Moderada, --, Monitorar diminuição dos efeitos terapêuticos. Considerar o aumento de dose da doxiciclina ou utilizar outro derivado de tetraciclina.
Carbamazepina, Haloperidol, ↓ efeito terapêutico do haloperidol, Moderada, --, Monitorar diminuição dos efeitos terapêuticos. Considerar o aumento de dose do haloperidol ou utilizar outro antipsicótico alternativo.
Carbamazepina, Paracetamol, ↓ efeito terapêutico do paracetamol e aumenta risco de dano hepático, Moderada, --, Monitorar diminuição dos efeitos terapêuticos e hepatotoxicidade.
Caspofungina, Ciclosporina, ↑ ocorrência de hepatotoxicidade, Grave, Rápido, Evitar uso concomitante. Caso seja extremamente necessário; monitorar aumento de transaminases (ALT/AST).
Cefepime/ Cefalotina/ Ceftazidima/ Ceftriaxona, Amicacina/ Gentamicina, ↑ risco de nefrotoxicidade, Moderada, --, A menor dose eficaz de aminoglicosídeos e cefalosporinas deve ser utilizado quando são prescritos em combinação. Monitorar função renal (uréia e creatinina).
Ceftriaxona/ Cefalotina/ Cefoxitina/ Cefazolina, Varfarina, ↑ risco hemorrágico, Moderada, --, Monitorar tempo de protrombina (TAP) e aumento das evidências de sangramento. Exceção: Cefepime
Cilostozol, AAS, ↑ do risco de sangramento, Moderada, Rápida, Monitorar aumento de evidências de redução da função plaquetária.
Cilostozol, AINEs (Diclofenaco; Ibuprofeno; Naproxeno), ↑ do risco de sangramento, Moderada, --, Monitorar aumento de evidências de redução da função plaquetária.

Ciprofloxacino, Oligoelementos (magnésio; alumínio; cálcio; ferro e zinco), ↓absorção e efeitos terapêuticos da ciprofloxacino (e outras quinolonas), Moderada, --, Quando a co-administração não puder ser evitado; quinolonas deve ser administradas ou 4 horas antes ou 6 horas depois de cátions polivalentes.
Ciprofloxacino, Metilprednisolona/ Hidrocortisona/ Dexametasona/ Betametasona/ Prednisona, ↑  risco de tendinite e ruptura do tendão, Grave, --, Uso concomitante deve ser evitado. Monitorar paciente para sinais de dor; inchaço ou inflamação de um tendão.
Claritromicina, Cetoconazol/ Itraconazol, ↑ efeitos terapêuticos e tóxicos dos antifúngicos, Moderada, --, Monitorar efeitos tóxicos dos antifúngicos (náusea; vômito; dor abdominal; prurido).
Claritromicina, Ácido valpróico, ↑ problemas de deambulação; fala e concentração, Moderada, Rápido, Monitorar efeitos tóxicos do ácido valpróico (distúrbios na deambulação; fala e concentração). Considerar escolha de macrolídeo não interagente (Azitromicina).
Claritromicina, Atazanavir/ Lopinavir/ Ritonavir, Desenvolvimento de arritmias cardíacas, Grave, --, Considerar ajuste de dose da claritromicina ou antibioticoterapia alternativa.
Claritromicina, Bromocriptina, Aparecimento de cãibras; dor e isquemia nas extremidades, Grave, --, Observar a ocorrência dos efeitos tóxicos da bromocriptina (cãibras; dor e isquemia nas extremidades).
Claritromicina, Carbamazepina, Ocorrência de tontura; sonolência; ataxia; diplopia, Moderada, --, Considerar a escolha de um macrolídeo não interagente (Azitromicina) e/ou ajuste de dose da Carbamazepina.
Claritromicina, Ciclosporina, ↑ efeitos terapêuticos e tóxicos da ciclosporina  (imunossupressão), Moderada, --, Considerar modificação na terapia ou ajuste de dose.
Claritromicina, Clopidogrel, Risco hemorrágico, Moderada, --, Monitorar a evidências de redução da função plaquetária (hemorragia).

Claritromicina, Sildenafil, ↑ dos efeitos tóxicos do sildenafil, Moderada, --, Observar ocorrência de efeitos tóxicos como cefaléia; rubor; taquicardia e visão turva.
Claritromicina/Azitromicina, Varfarina, ↑ do RNI e potencialização do efeito (risco de hemorragia), Moderada, --, Monitorar TAP. Observar ocorrência de hemorragia; hematúria e equimoses.
Clindamicina, Eritromicina, ↓ efeito terapêutico da eritromicina, Grave, --, O uso concomitante deve ser evitado.
Clonidina, Amitriptilina, ↓ efeito anti-hipertensivo da clonidina, Moderada, Demorado, Observar sinais e sintomas de crise hipertensiva. Monitorar pressão arterial. Retirar Clonidina gradualmente para hipertensão arterial de rebote.
Clonidina, Atenolol/Metoprolol/Propranolol, ↑ efeito hipertensivo de rebote devido retirada abrupta de Clonidina, Grave, Rápido, Monitorar aumentos agudos de pressão arterial. Suspender betabloqueador vários dias antes da clonidina ser gradualmente retirada. Preferir utilização de betabloqueador cardiosseletivo.
Clopidogrel, AAS/AINESs (Diclofenaco; Ibuprofeno; Naproxeno), Risco hemorrágico, Moderada, --, Monitorar a evidências de redução da função plaquetária (hemorragia).
Cloreto de potássio, Captopril/ Enalapril, ↑ risco de hipercalcemia, Moderada, --, Monitorar níveis plasmáticos de cálcio e sinais e sintomas de hipercalcemia (arritmias; alterações dos níveis de conciência; constipação).
Cloreto de potássio, Espironolactona, ↑ níveis plasmáticos de potássio, Moderada, Demorado, Evitar o uso concomitante (exceto hipocalemia importante). Monitorar sinais de hipercalemia (fraqueza muscular; fadiga; arritmias; bradicardia). Pacientes com comprometicmento renal apresenta maiores riscos de efeitos adversos.
Cloreto de potássio, Losartana, ↑ níveis plasmáticos de potássio, Moderada, Rápido, Monitorar sinais e sintomas de hipercalemia.
Codeína, Clorpromazina, Hipotensão arterial; ↑ de excreção urinária, Moderada, --, Monitorar pressão arterial.

Complexo B, Capecitabina, Ocorrência de anorexia; ulceração da boca; diarréia com sangue; sangramento vaginal, Grave, --, O uso concomitante deve ser EVITADO.  Os doentes devem ser monitorizados atentamente quanto a toxicidade potencial da capecitabina; como neutropenia; trombocitopenia; estomatite; hemorragia gastrointestinal; diarréia grave; vômito; reações cutâneas e neuropatia. Monitorar paciente via hemograma.
Digoxina, Cetoconazol/Itraconazol/Claritromicina/Azitromicina, Bradicardia; Distúrbios do SNC; náusea e vômito, Moderada, Demorado, Monitorar ocorrência de efeitos tóxicos da digoxina (bradicardia; distúrbios do SNC; etc).
Digoxina, Atenolol/Atenolol/Metoprolol/Propranolol, Bradicardia excessiva; Arritimias, Moderada, --, Monitorar aumento de bradicardia.
Digoxina, Ciclosporina, Bradicardia; Distúrbios do SNC; náusea e vômito, Moderada, Rápida, Monitorar ocorrência de efeitos tóxicos da digoxina (bradicardia; distúrbios do SNC; etc).
Diltiazem/Verapamil, AAS, ↑ risco de hemorragias anormais e equimoses, Moderada, Rápido, Monitorar aumento dos efeitos antiplaquetários do AAS (hemorragias e equimose).
Diltiazem/Verapamil, Atazanavir/Lopinavir/Ritonavir, ↓ efeitos terapêuticos do Diltiazem/Verapamil, Grave, --, Evitar uso concomitante. Monitorar pressão arterial.
Diltiazem/ Verapamil, Atenolol/ Propranolol/ Metoprolol, Hipotensão; bradcardia e sinais de insuficiência cardíaca, Moderada, --, Monitorar evidências de bradcardia; hipotensão e sinais de insuficiêcia cardíaca.
Diltiazem/ Verapamil, Diazepam/ Midazolam/ Clonazepam, ↑ das concentrações e toxicidade dos benzodiazepínicos (sedação excessiva e efeitos hipnóticos prolongados), Moderada, --, Evitar uso concomitante. Se uso concomitante; monitorar ocorrência de efeitos tóxicos dos benzodiazepínicos e considerar redução da dose.
